------------------------------,--------------------
www.electricblue.eu,Portugal
------------------------------,--------------------
EnvLogger version,T2.4
EnvLogger Viewer version,5.3
downloading device type,android
device,SM-J737T1
device name,Galaxy J7 Star
downloading mode,auto
------------------------------,--------------------
serial number,0426 9800 0457 0A
custom name,6-N-B6
temperature,degrees Celsius
time zone,UTC+0000
sampling resolution,0.1
samples,448
time diff [logger-smartphone](sec),87
lat,-0.765953
long,-90.340662
accuracy (m),7.5
------------------------------,--------------------
time,temp
01/02/2024 13:30,27.1
01/02/2024 15:00,27.4
01/02/2024 16:30,29
01/02/2024 18:00,33.6
01/02/2024 19:30,40.8
01/02/2024 21:00,29.9
01/02/2024 22:30,29.1
02/02/2024 00:00,28.7
02/02/2024 01:30,28.5
02/02/2024 03:00,28.3
02/02/2024 04:30,28
02/02/2024 06:00,26.6
02/02/2024 07:30,26
02/02/2024 09:00,25.9
02/02/2024 10:30,27.4
02/02/2024 12:00,27.4
02/02/2024 13:30,27.4
02/02/2024 15:00,27.7
02/02/2024 16:30,28.4
02/02/2024 18:00,32.2
02/02/2024 19:30,34.6
02/02/2024 21:00,30.8
02/02/2024 22:30,29.3
03/02/2024 00:00,29.1
03/02/2024 01:30,28.8
03/02/2024 03:00,28.4
03/02/2024 04:30,28.2
03/02/2024 06:00,27.8
03/02/2024 07:30,27
03/02/2024 09:00,26.3
03/02/2024 10:30,27.4
03/02/2024 12:00,27.6
03/02/2024 13:30,27.6
03/02/2024 15:00,27.6
03/02/2024 16:30,27.9
03/02/2024 18:00,28.9
03/02/2024 19:30,31
03/02/2024 21:00,30.7
03/02/2024 22:30,28.9
04/02/2024 00:00,28.7
04/02/2024 01:30,28.3
04/02/2024 03:00,28
04/02/2024 04:30,27.8
04/02/2024 06:00,27.9
04/02/2024 07:30,27.3
04/02/2024 09:00,26.6
04/02/2024 10:30,26.3
04/02/2024 12:00,27.5
04/02/2024 13:30,27.5
04/02/2024 15:00,27.6
04/02/2024 16:30,27.8
04/02/2024 18:00,28.1
04/02/2024 19:30,28.5
04/02/2024 21:00,28.7
04/02/2024 22:30,28.1
05/02/2024 00:00,28.1
05/02/2024 01:30,28
05/02/2024 03:00,27.8
05/02/2024 04:30,27.7
05/02/2024 06:00,27.6
05/02/2024 07:30,27.2
05/02/2024 09:00,25.9
05/02/2024 10:30,25
05/02/2024 12:00,23.9
05/02/2024 13:30,27.1
05/02/2024 15:00,27.3
05/02/2024 16:30,27.5
05/02/2024 18:00,27.6
05/02/2024 19:30,27.5
05/02/2024 21:00,28.1
05/02/2024 22:30,28.1
06/02/2024 00:00,27
06/02/2024 01:30,27.4
06/02/2024 03:00,27.4
06/02/2024 04:30,27.4
06/02/2024 06:00,27.3
06/02/2024 07:30,27.2
06/02/2024 09:00,26.5
06/02/2024 10:30,25.8
06/02/2024 12:00,25.4
06/02/2024 13:30,26.4
06/02/2024 15:00,27.4
06/02/2024 16:30,27.6
06/02/2024 18:00,28
06/02/2024 19:30,28.2
06/02/2024 21:00,28.5
06/02/2024 22:30,28
07/02/2024 00:00,26.6
07/02/2024 01:30,26.2
07/02/2024 03:00,27.2
07/02/2024 04:30,27.2
07/02/2024 06:00,27.2
07/02/2024 07:30,27.1
07/02/2024 09:00,26.9
07/02/2024 10:30,26.1
07/02/2024 12:00,25.5
07/02/2024 13:30,27.4
07/02/2024 15:00,30.9
07/02/2024 16:30,27.7
07/02/2024 18:00,28.2
07/02/2024 19:30,28.5
07/02/2024 21:00,28.3
07/02/2024 22:30,28
08/02/2024 00:00,27.2
08/02/2024 01:30,25.9
08/02/2024 03:00,26
08/02/2024 04:30,27.3
08/02/2024 06:00,27.2
08/02/2024 07:30,27.1
08/02/2024 09:00,27
08/02/2024 10:30,26.9
08/02/2024 12:00,25.6
08/02/2024 13:30,26.8
08/02/2024 15:00,31.5
08/02/2024 16:30,29.5
08/02/2024 18:00,28.2
08/02/2024 19:30,28.7
08/02/2024 21:00,28.8
08/02/2024 22:30,28.6
09/02/2024 00:00,27.8
09/02/2024 01:30,25.8
09/02/2024 03:00,25.6
09/02/2024 04:30,27.4
09/02/2024 06:00,27.6
09/02/2024 07:30,27.5
09/02/2024 09:00,27.3
09/02/2024 10:30,27.2
09/02/2024 12:00,26.1
09/02/2024 13:30,25.6
09/02/2024 15:00,32.3
09/02/2024 16:30,43.9
09/02/2024 18:00,28.5
09/02/2024 19:30,28.8
09/02/2024 21:00,29
09/02/2024 22:30,28.6
10/02/2024 00:00,27.8
10/02/2024 01:30,26.6
10/02/2024 03:00,25.9
10/02/2024 04:30,25.8
10/02/2024 06:00,27.3
10/02/2024 07:30,27.4
10/02/2024 09:00,27.3
10/02/2024 10:30,27.1
10/02/2024 12:00,26.7
10/02/2024 13:30,27
10/02/2024 15:00,28.9
10/02/2024 16:30,36.6
10/02/2024 18:00,32.9
10/02/2024 19:30,28.3
10/02/2024 21:00,28.2
10/02/2024 22:30,27.5
11/02/2024 00:00,27.4
11/02/2024 01:30,26.6
11/02/2024 03:00,25.6
11/02/2024 04:30,25.1
11/02/2024 06:00,25.7
11/02/2024 07:30,26.6
11/02/2024 09:00,26.4
11/02/2024 10:30,25.9
11/02/2024 12:00,25.9
11/02/2024 13:30,26.2
11/02/2024 15:00,31.6
11/02/2024 16:30,40.8
11/02/2024 18:00,46.9
11/02/2024 19:30,28.2
11/02/2024 21:00,28.3
11/02/2024 22:30,28
12/02/2024 00:00,27.7
12/02/2024 01:30,27.3
12/02/2024 03:00,26.7
12/02/2024 04:30,26.4
12/02/2024 06:00,26.4
12/02/2024 07:30,27.3
12/02/2024 09:00,27.3
12/02/2024 10:30,27.4
12/02/2024 12:00,27.4
12/02/2024 13:30,27.5
12/02/2024 15:00,31.6
12/02/2024 16:30,41.1
12/02/2024 18:00,30.5
12/02/2024 19:30,28.6
12/02/2024 21:00,28.1
12/02/2024 22:30,28.2
13/02/2024 00:00,28
13/02/2024 01:30,27.8
13/02/2024 03:00,26.9
13/02/2024 04:30,26.6
13/02/2024 06:00,26.4
13/02/2024 07:30,26.6
13/02/2024 09:00,27.2
13/02/2024 10:30,27
13/02/2024 12:00,26.7
13/02/2024 13:30,26.5
13/02/2024 15:00,28.1
13/02/2024 16:30,32.1
13/02/2024 18:00,33.9
13/02/2024 19:30,38.8
13/02/2024 21:00,28
13/02/2024 22:30,28
14/02/2024 00:00,27.5
14/02/2024 01:30,26.5
14/02/2024 03:00,26.9
14/02/2024 04:30,26.8
14/02/2024 06:00,26.3
14/02/2024 07:30,26.2
14/02/2024 09:00,27.2
14/02/2024 10:30,27.2
14/02/2024 12:00,26.7
14/02/2024 13:30,26.4
14/02/2024 15:00,27
14/02/2024 16:30,31.2
