------------------------------,--------------------
www.electricblue.eu,Portugal
------------------------------,--------------------
EnvLogger version,T2.4
EnvLogger Viewer version,5.3
downloading device type,android
device,SM-J737T1
device name,Galaxy J7 Star
downloading mode,auto
------------------------------,--------------------
serial number,0456 3D00 F82E 10
custom name,6-P-B1
temperature,degrees Celsius
time zone,UTC+0000
sampling resolution,0.1
samples,514
time diff [logger-smartphone](sec),130
lat,-0.743366
long,-90.303913
accuracy (m),7.5
------------------------------,--------------------
time,temp
01/02/2024 22:30,29.2
02/02/2024 00:00,28.6
02/02/2024 01:30,28.2
02/02/2024 03:00,28.1
02/02/2024 04:30,28
02/02/2024 06:00,27.2
02/02/2024 07:30,26
02/02/2024 09:00,26.4
02/02/2024 10:30,27.5
02/02/2024 12:00,27.5
02/02/2024 13:30,27.6
02/02/2024 15:00,28.1
02/02/2024 16:30,28.6
02/02/2024 18:00,30.4
02/02/2024 19:30,31.7
02/02/2024 21:00,30.2
02/02/2024 22:30,29.4
03/02/2024 00:00,28.8
03/02/2024 01:30,28.4
03/02/2024 03:00,28.3
03/02/2024 04:30,28.3
03/02/2024 06:00,28.1
03/02/2024 07:30,27
03/02/2024 09:00,26.4
03/02/2024 10:30,27.4
03/02/2024 12:00,27.5
03/02/2024 13:30,27.6
03/02/2024 15:00,27.9
03/02/2024 16:30,28.3
03/02/2024 18:00,29
03/02/2024 19:30,30.1
03/02/2024 21:00,30
03/02/2024 22:30,29
04/02/2024 00:00,28.6
04/02/2024 01:30,28.5
04/02/2024 03:00,28.3
04/02/2024 04:30,28.2
04/02/2024 06:00,28.1
04/02/2024 07:30,27.9
04/02/2024 09:00,26.6
04/02/2024 10:30,26.6
04/02/2024 12:00,27.4
04/02/2024 13:30,27.4
04/02/2024 15:00,27.7
04/02/2024 16:30,27.9
04/02/2024 18:00,28.3
04/02/2024 19:30,29
04/02/2024 21:00,29
04/02/2024 22:30,28.1
05/02/2024 00:00,27.9
05/02/2024 01:30,27.8
05/02/2024 03:00,27.7
05/02/2024 04:30,27.6
